"League","Away Team","S","EX","EN","F","I","R","Score","Results","Home Team","S","EX","EN","F","I","R","Score","Results"
"MLB","Rangers","39.0","27.0","60.0","43.0","53.0","41.0","3.0","W","Blue Jays","37.0","33.0","57.0","38.0","53.0","39.0","1.0","L"
"MLB","Royals","25.0","34.0","41.0","30.0","52.0","20.0","1.0","L","Indians","30.0","29.0","52.0","34.0","52.0","36.0","10.0","W"
"MLB","Angels","29.0","30.0","48.0","33.0","53.0","32.0","2.0","L","Marlins","31.0","35.0","53.0","33.0","52.0","34.0","9.0","W"
"MLB","Reds","29.0","33.0","45.0","30.0","52.0","29.0","8.0","W","Phillies","28.0","31.0","47.0","31.0","51.0","30.0","4.0","L"
"MLB","Cubs","33.0","26.0","51.0","32.0","51.0","29.0","0.0","L","Dodgers","37.0","25.0","51.0","38.0","52.0","36.0","5.0","W"
"MLB","Mets","31.0","27.0","51.0","33.0","51.0","30.0","4.0","L","Pirates","28.0","23.0","59.0","30.0","50.0","26.0","5.0","W"
"MLB","Orioles","37.0","28.0","57.0","41.0","51.0","42.0","2.0","L","Astros","42.0","34.0","52.0","49.0","52.0","47.0","5.0","W"
"MLB","Cardinals","41.0","30.0","44.0","41.0","53.0","41.0","3.0","W","Rockies","40.0","23.0","55.0","43.0","52.0","45.0","0.0","L"
"MLB","Braves","38.0","28.0","44.0","43.0","52.0","39.0","3.0","L","Giants","39.0","35.0","56.0","49.0","51.0","43.0","6.0","W"
"NHL","Devils","35.0","24.0","51.0","36.0","52.0","32.0","2.0","L","Jets","38.0","26.0","43.0","33.0","52.0","39.0","5.0","W"
"NHL","Panthers","35.0","26.0","45.0","31.0","53.0","35.0","0.0","L","Kings","38.0","32.0","53.0","38.0","53.0","38.0","4.0","W"
"NHL","Hurricanes","49.0","33.0","64.0","49.0","56.0","50.0","3.0","W","Sabres","54.0","41.0","58.0","46.0","57.0","54.0","1.0","L"
"NHL","Maple Leafs","39.0","39.0","55.0","41.0","55.0","37.0","6.0","W","Canadiens","43.0","34.0","51.0","43.0","55.0","46.0","0.0","L"
"NHL","Islanders","36.0","27.0","39.0","30.0","53.0","33.0","5.0","W","Lightning","33.0","30.0","42.0","30.0","52.0","33.0","3.0","L"
"NHL","Blackhawks","34.0","24.0","44.0","35.0","51.0","29.0","2.0","W","Penguins","38.0","26.0","49.0","38.0","52.0","37.0","1.0","L"
"NHL","Wild","36.0","25.0","46.0","37.0","52.0","33.0","1.0","L","Capitals","46.0","26.0","51.0","40.0","53.0","43.0","3.0","W"
"NHL","Avalanche","35.0","27.0","49.0","34.0","52.0","33.0","2.0","L","Predators","33.0","24.0","53.0","42.0","53.0","31.0","5.0","W"
"NHL","Blues","41.0","31.0","55.0","43.0","54.0","41.0","4.0","W","Canucks","35.0","35.0","45.0","38.0","55.0","33.0","3.0","L"
"NHL","Bruins","40.0","49.0","57.0","44.0","55.0","46.0","3.0","W","Sharks","47.0","51.0","56.0","43.0","56.0","53.0","1.0","L"
"MLB","Tigers","34.0","26.0","53.0","38.0","51.0","32.0","0.0","L","White Sox","36.0","33.0","51.0","41.0","52.0","37.0","3.0","W"
"MLB","Rays","36.0","27.0","66.0","37.0","52.0","38.0","3.0","L","Twins","37.0","35.0","61.0","41.0","52.0","39.0","5.0","W"
"MLB","Reds","32.0","24.0","47.0","38.0","51.0","25.0","3.0","L","Phillies","36.0","22.0","56.0","39.0","52.0","33.0","4.0","W"
"MLB","Padres","40.0","26.0","56.0","42.0","53.0","39.0","0.0","L","Nationals","38.0","26.0","47.0","41.0","53.0","38.0","3.0","W"
"MLB","Mariners","38.0","34.0","47.0","43.0","54.0","37.0","0.0","L","Red Sox","41.0","33.0","55.0","52.0","54.0","42.0","6.0","W"
"MLB","Royals","34.0","21.0","51.0","36.0","51.0","28.0","6.0","W","Indians","37.0","25.0","51.0","36.0","52.0","33.0","4.0","L"
"MLB","Angels","35.0","27.0","49.0","38.0","53.0","35.0","5.0","L","Marlins","35.0","28.0","56.0","38.0","53.0","33.0","8.0","W"
"MLB","Diamondbacks","38.0","29.0","57.0","45.0","53.0","37.0","4.0","W","Brewers","38.0","29.0","49.0","43.0","53.0","41.0","2.0","L"
"MLB","Orioles","38.0","34.0","48.0","44.0","53.0","43.0","0.0","L","Astros","35.0","25.0","54.0","45.0","53.0","42.0","2.0","W"
